timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
9675,-5.25,-22.69,1014.92,105.0,-175.0,-17.5
9705,-5.25,-22.69,1014.92,122.5,-175.0,-35.0
9734,-5.12,-22.69,1014.92,105.0,-175.0,-35.0
9764,-5.25,-22.69,1015.04,140.0,-175.0,-35.0
9793,-5.25,-22.69,1015.04,122.5,-175.0,-35.0
9823,-5.12,-22.69,1015.04,122.5,-175.0,-52.5
9852,-5.25,-22.69,1015.04,122.5,-175.0,-35.0
9882,-5.25,-22.69,1015.04,105.0,-175.0,-35.0
9911,-5.25,-22.69,1015.04,140.0,-175.0,-17.5
9941,-5.25,-22.69,1015.04,122.5,-192.5,-17.5
9970,-5.25,-22.69,1015.04,122.5,-192.5,-35.0
10000,-5.25,-22.69,1015.04,122.5,-175.0,-35.0
10029,-5.25,-22.69,1015.04,140.0,-175.0,-35.0
10058,-5.25,-22.69,1015.04,122.5,-175.0,-17.5
10087,-5.37,-22.69,1015.04,105.0,-192.5,-17.5
10116,-5.37,-22.69,1015.04,105.0,-175.0,-17.5
10146,-5.25,-22.69,1015.04,105.0,-175.0,-35.0
10175,-5.37,-22.69,1014.92,122.5,-175.0,-35.0
10205,-5.37,-22.69,1014.92,122.5,-192.5,-17.5
10234,-5.37,-22.69,1014.92,122.5,-175.0,-35.0
10264,-5.37,-22.69,1014.92,122.5,-175.0,-35.0
10293,-5.37,-22.69,1014.8,122.5,-175.0,-35.0
10323,-5.37,-22.69,1014.8,122.5,-175.0,-35.0
10352,-5.37,-22.69,1014.8,122.5,-157.5,-35.0
10382,-5.37,-22.69,1014.8,122.5,-157.5,-35.0
10411,-5.37,-22.81,1014.8,122.5,-192.5,-35.0
10441,-5.25,-22.69,1014.8,105.0,-175.0,-35.0
10470,-5.37,-22.81,1014.8,122.5,-192.5,-35.0
10499,-5.25,-22.81,1014.8,140.0,-175.0,-17.5
10528,-5.37,-22.81,1014.8,105.0,-175.0,-35.0
10557,-5.25,-22.69,1014.8,122.5,-175.0,-35.0
10586,-5.37,-22.81,1014.8,122.5,-157.5,-35.0
10615,-5.25,-22.81,1014.8,122.5,-192.5,-35.0
10645,-5.25,-22.69,1014.8,122.5,-192.5,-35.0
10674,-5.25,-22.69,1014.8,122.5,-175.0,-17.5
10704,-5.37,-22.81,1014.8,122.5,-175.0,-17.5
10733,-5.37,-22.69,1014.8,122.5,-192.5,-35.0
10763,-5.25,-22.69,1014.92,105.0,-175.0,-35.0
10792,-5.37,-22.69,1014.92,105.0,-192.5,-35.0
10822,-5.25,-22.69,1014.92,122.5,-192.5,-35.0
10851,-5.37,-22.69,1014.92,122.5,-175.0,-35.0
10881,-5.37,-22.69,1014.92,105.0,-175.0,-17.5
10910,-5.25,-22.69,1014.92,122.5,-175.0,-35.0
10940,-5.37,-22.69,1014.92,105.0,-192.5,-35.0
